RegionName,Date,AvgPrice,StateCode,Bedrooms
North Dakota,2000-04-30,,ND,1
Alaska,2000-04-30,82382.46277844421,AK,1
Vermont,2000-04-30,62207.65162230544,VT,1
Wyoming,2000-04-30,,WY,1
California,2000-05-31,117807.82316237148,CA,1
Texas,2000-05-31,65853.78323449777,TX,1
Florida,2000-05-31,51139.65326227038,FL,1
New York,2000-05-31,133345.88809026557,NY,1
Pennsylvania,2000-05-31,59824.6562610216,PA,1
Illinois,2000-05-31,85432.04283951616,IL,1
Ohio,2000-05-31,54477.32577638857,OH,1
Georgia,2000-05-31,86163.93720237787,GA,1
North Carolina,2000-05-31,74114.25763313081,NC,1
Michigan,2000-05-31,69626.18069299638,MI,1
New Jersey,2000-05-31,92088.13417571488,NJ,1
Virginia,2000-05-31,81805.33606747426,VA,1
Washington,2000-05-31,117093.1037763302,WA,1
Arizona,2000-05-31,65048.48974787587,AZ,1
Massachusetts,2000-05-31,125759.60545643487,MA,1
Tennessee,2000-05-31,68861.38462756801,TN,1
Indiana,2000-05-31,,IN,1
Maryland,2000-05-31,78526.20928928621,MD,1
Missouri,2000-05-31,51152.97762787601,MO,1
Wisconsin,2000-05-31,65779.42337032704,WI,1
Colorado,2000-05-31,100525.67544366076,CO,1
Minnesota,2000-05-31,63745.87303724355,MN,1
South Carolina,2000-05-31,85172.6525362458,SC,1
Alabama,2000-05-31,68233.64393597977,AL,1
Louisiana,2000-05-31,83026.8976607624,LA,1
Kentucky,2000-05-31,43571.79397369088,KY,1
Oregon,2000-05-31,91247.75579351847,OR,1
Oklahoma,2000-05-31,30359.478964208447,OK,1
Connecticut,2000-05-31,72331.96929095004,CT,1
Utah,2000-05-31,114286.3084168534,UT,1
Iowa,2000-05-31,59251.43155221824,IA,1
Nevada,2000-05-31,84164.60985851462,NV,1
Arkansas,2000-05-31,46195.167847409895,AR,1
Mississippi,2000-05-31,,MS,1
Kansas,2000-05-31,44284.25046354163,KS,1
New Mexico,2000-05-31,,NM,1
Nebraska,2000-05-31,55096.23422664096,NE,1
Idaho,2000-05-31,83067.65690645,ID,1
West Virginia,2000-05-31,39187.216229680336,WV,1
Hawaii,2000-05-31,110751.60968402326,HI,1
New Hampshire,2000-05-31,60466.870913160725,NH,1
Maine,2000-05-31,67756.50304026411,ME,1
Rhode Island,2000-05-31,83132.49440589156,RI,1
Montana,2000-05-31,,MT,1
Delaware,2000-05-31,60675.821687188254,DE,1
South Dakota,2000-05-31,,SD,1
North Dakota,2000-05-31,,ND,1
Alaska,2000-05-31,82245.4291700107,AK,1
Vermont,2000-05-31,62358.654219808064,VT,1
Wyoming,2000-05-31,,WY,1
California,2000-06-30,119543.71910918852,CA,1
Texas,2000-06-30,65661.38448600557,TX,1
Florida,2000-06-30,51455.94632368569,FL,1
New York,2000-06-30,134640.6569760896,NY,1
Pennsylvania,2000-06-30,60063.624218944205,PA,1
Illinois,2000-06-30,86198.99477829036,IL,1
Ohio,2000-06-30,54689.33443193897,OH,1
Georgia,2000-06-30,87030.17063527393,GA,1
North Carolina,2000-06-30,74360.6901886366,NC,1
Michigan,2000-06-30,70030.01441166579,MI,1
New Jersey,2000-06-30,92843.43790302127,NJ,1
Virginia,2000-06-30,82141.55269783718,VA,1
Washington,2000-06-30,117741.24756853069,WA,1
Arizona,2000-06-30,65346.81750299064,AZ,1
Massachusetts,2000-06-30,127072.20239351016,MA,1
Tennessee,2000-06-30,69052.1128727899,TN,1
Indiana,2000-06-30,,IN,1
Maryland,2000-06-30,78870.2006467389,MD,1
Missouri,2000-06-30,51328.00281602921,MO,1
Wisconsin,2000-06-30,66068.28194125881,WI,1
Colorado,2000-06-30,101758.7393361486,CO,1
Minnesota,2000-06-30,64537.388490901845,MN,1
South Carolina,2000-06-30,85865.7862536356,SC,1
Alabama,2000-06-30,68478.41260841706,AL,1
Louisiana,2000-06-30,83309.24934702378,LA,1
Kentucky,2000-06-30,43687.12752154646,KY,1
Oregon,2000-06-30,91622.35166402538,OR,1
Oklahoma,2000-06-30,30475.57275580232,OK,1
Connecticut,2000-06-30,72702.625825426,CT,1
Utah,2000-06-30,114866.15492083404,UT,1
Iowa,2000-06-30,59442.8366506297,IA,1
Nevada,2000-06-30,84483.14801707194,NV,1
Arkansas,2000-06-30,46408.47676585245,AR,1
Mississippi,2000-06-30,,MS,1
Kansas,2000-06-30,44280.45115779966,KS,1
New Mexico,2000-06-30,,NM,1
Nebraska,2000-06-30,55184.99595237165,NE,1
Idaho,2000-06-30,83514.93601647062,ID,1
West Virginia,2000-06-30,39250.53404541253,WV,1
Hawaii,2000-06-30,111479.12725723724,HI,1
New Hampshire,2000-06-30,60893.28316187315,NH,1
Maine,2000-06-30,68100.29909353136,ME,1
Rhode Island,2000-06-30,83927.15859652332,RI,1
Montana,2000-06-30,,MT,1
Delaware,2000-06-30,61173.38086431487,DE,1
South Dakota,2000-06-30,,SD,1
North Dakota,2000-06-30,,ND,1
Alaska,2000-06-30,81722.71756887417,AK,1
Vermont,2000-06-30,62510.16652442389,VT,1
Wyoming,2000-06-30,,WY,1
California,2000-07-31,121358.3607216126,CA,1
Texas,2000-07-31,65794.961302256,TX,1
Florida,2000-07-31,51750.23842479981,FL,1
New York,2000-07-31,135967.28482950004,NY,1
Pennsylvania,2000-07-31,60348.37440263049,PA,1
Illinois,2000-07-31,86924.22489086488,IL,1
Ohio,2000-07-31,54889.170516718295,OH,1
Georgia,2000-07-31,87856.7514531224,GA,1
North Carolina,2000-07-31,74700.19521230442,NC,1
Michigan,2000-07-31,70517.0313988592,MI,1
New Jersey,2000-07-31,93748.85976181696,NJ,1
Virginia,2000-07-31,82392.28300706416,VA,1
Washington,2000-07-31,118497.82404671409,WA,1
Arizona,2000-07-31,65605.56430203324,AZ,1
Massachusetts,2000-07-31,128660.18867476906,MA,1
Tennessee,2000-07-31,69271.04887420965,TN,1
Indiana,2000-07-31,,IN,1
Maryland,2000-07-31,79437.44487584005,MD,1
Missouri,2000-07-31,51554.48823476888,MO,1
Wisconsin,2000-07-31,66421.64563231492,WI,1
Colorado,2000-07-31,103056.56013198609,CO,1
Minnesota,2000-07-31,65504.23968000778,MN,1
South Carolina,2000-07-31,86260.313424064,SC,1
Alabama,2000-07-31,68688.67946266323,AL,1
Louisiana,2000-07-31,83632.89005459253,LA,1
Kentucky,2000-07-31,43891.36861321444,KY,1
Oregon,2000-07-31,91981.2574771318,OR,1
Oklahoma,2000-07-31,30663.885195805826,OK,1
Connecticut,2000-07-31,72918.76262644226,CT,1
Utah,2000-07-31,115454.65339079918,UT,1
Iowa,2000-07-31,59638.81167753592,IA,1
Nevada,2000-07-31,84729.291866409,NV,1
Arkansas,2000-07-31,46745.86963414173,AR,1
Mississippi,2000-07-31,,MS,1
Kansas,2000-07-31,44406.46732908159,KS,1
New Mexico,2000-07-31,,NM,1
Nebraska,2000-07-31,55182.946046263816,NE,1
Idaho,2000-07-31,84168.81267274765,ID,1
